id,created_at,text
1110369436215767041,2019-03-26 02:34:37,b'I just uploaded JRE #1270 - Lenny Clarke to #Vimeo: https://t.co/SAOmOYdI1h'
1110298349121531905,2019-03-25 21:52:09,"b'About to go live with @billycorben director of one of my all time favorite documentaries, Cocaine Cowboys to talk https://t.co/cmJDWJfffc'"
1110260891902230528,2019-03-25 19:23:18,b'About to go live with the great and powerful @ItsLennyClarke \nhttps://t.co/GqAep158RN https://t.co/Fdu2aDkCO8'
1109949015146356736,2019-03-24 22:44:01,b'San Diego! 4/20 is less than a month away! Tickets available at https://t.co/QaS20jAxdg https://t.co/yNux0ihNHd'
1109714397184839681,2019-03-24 07:11:44,b'Whole Lee Shit!\nCongrats to @showtimepettis. That was INSANE. https://t.co/qeWdyhpq7l'
1109662013989552128,2019-03-24 03:43:35,b'Thank you! Youre very talented! https://t.co/xpz1SEmyV9'
1109484752971751424,2019-03-23 15:59:12,b'*listens to one joe rogan podcast* https://t.co/eQMnFXIBuX via @YouTube'
1109255498178584577,2019-03-23 00:48:14,"b'Adorable. Thanks, Allison! @craftyiscool https://t.co/9oyRUyKGT7'"
1109252543689814016,2019-03-23 00:36:29,"b'Austin, were here. #BillHicks https://t.co/kYMxZ2kxvF'"
1108887332495618048,2019-03-22 00:25:16,"b'My longtime and hilarious friend @shawnpelofsky has a comedy special out right now! Its on amazon, iTunes, google https://t.co/EnThSNjaw0'"
1108886284708118528,2019-03-22 00:21:07,b'Dave Attell Is Our Greatest Club Comic (Says the Writer He Made Fun Of) https://t.co/OqebHvf7AY'
1108874227480973313,2019-03-21 23:33:12,b'San Diego! 4/20 is almost upon us! @tonyhinchcliffe @cheetosantino and me are bringing it! Tickets at https://t.co/ynuhG9J8PB'
1108832915641765888,2019-03-21 20:49:02,"b'If you ever need inspiration, @davidgoggins has got you covered! \n#Repost @davidgoggins with rep0stapp\n       https://t.co/zIr17E7U5b'"
1108727895680180224,2019-03-21 13:51:44,b'Sam Harris Endorses Eddie Bravo For President https://t.co/nslrkCHZng via @YouTube'
1108678692337790976,2019-03-21 10:36:13,b'I just uploaded JRE #1269 - Bryan Callen to #Vimeo: https://t.co/3Ybii4xPMu'
1108565007682453504,2019-03-21 03:04:28,b'My man @bryancallen is too high so hes exercising. #killthedemon https://t.co/vLx62GLtFW'
1108496545639514112,2019-03-20 22:32:26,b'#Repost @bryancallen with rep0stapp\n            \nTomorrow! Complicated Apes will be available! \n* ITune https://t.co/vwFLTLa5f1'
1108496089253064704,2019-03-20 22:30:37,b'Were getting hailed on in LA! @bryancallen is in pain! Were about to do a podcast. Tune in live at https://t.co/i0VK3WoySk'
1108477166172299266,2019-03-20 21:15:25,b'#10p4L @10thPlanetJJcom  @eddiebravo https://t.co/cdvOropahf'
1108257746108010496,2019-03-20 06:43:31,b'I just uploaded JRE #1268 - Ron White to #Vimeo: https://t.co/oqYLk3CzH2'
1108209755733065734,2019-03-20 03:32:49,b'I just uploaded JRE #1267 - Gary Taubes &amp; Stephan Guyenet to #Vimeo: https://t.co/y2d3hpAxrV'
1108130236292567042,2019-03-19 22:16:51,"b'About to go live with one of the baddest motherfuckers in comedy, my brother ronwhiteofficial https://t.co/tIGFXF6Gtv'"
1108072223040892928,2019-03-19 18:26:19,"b'I enjoy every minute of my time with this awesome and silly dog! Plus I know he needs the exercise, so it forces me https://t.co/WTOA28ccTf'"
1108042534989684736,2019-03-19 16:28:21,b'Think about this when you read about all these assholes that are trying to get the voting age moved to 16.'
1108042337546981377,2019-03-19 16:27:34,"b""BBC News - People don't become 'adults' until their 30s, say scientists https://t.co/ZyESlRAJLh"""
1107894383490330624,2019-03-19 06:39:39,b'I just uploaded JRE MMA Show #59 with Kamaru Usman to #Vimeo: https://t.co/GIVC7ZG1Xe'
1107865223220723712,2019-03-19 04:43:47,"b'Marijuana is the fastest-growing industry in the US job market, according to a new report -  https://t.co/wqeOqibn60'"
1107864984803958784,2019-03-19 04:42:50,"b'Some Humans Can Sense Earths Magnetic Field, Fascinating Experiment Suggests https://t.co/R0nOYvgeXd via @gizmodo'"
1107850842038771713,2019-03-19 03:46:38,b'I just uploaded JRE #1266 - Ben Anderson to #Vimeo: https://t.co/QrKoUzz4Ua'
1107765559364632583,2019-03-18 22:07:45,b'The champ is here! Going live with @usman84kg https://t.co/GqAep158RN https://t.co/2h1YaydurH'
1107753910842900480,2019-03-18 21:21:28,b'This Tuesday and Thursday Im at @hollywoodimprov with some great comics! https://t.co/hN0CQlGjsV'
1107753542746406913,2019-03-18 21:20:00,b'Im at @HollywoodImprov this Tuesday and Thursday with some great comics https://t.co/i19YRDwyd6'
1107690399374540800,2019-03-18 17:09:05,b'Man Possessed by Gay Demon on Live TV (Original) https://t.co/CNlspgpMmF via @YouTube'
1107328106874888192,2019-03-17 17:09:28,b'8-year-old homeless refugee crowned chess champion in New York https://t.co/fvgom8aXa9'
1106730420744253441,2019-03-16 01:34:29,b'Travel music for the trip to @icehousecomedy tonight provided the great and powerful @killermike and runthejewels! https://t.co/3qvd3PiDMQ'
1106691985333600256,2019-03-15 23:01:45,"b'@PeterHotez My pleasure, brother. I really appreciate you taking the time to educate us.'"
1106667834967506945,2019-03-15 21:25:47,b'These are the kind of text messages you get when youre friends with bad motherfuckers like @davidgoggins!\nOne of m https://t.co/znsSZAgsBk'
1106666156830658562,2019-03-15 21:19:07,"b'A beautiful run in nature with the happiest dog in the world, marshallmaerogan. The wildflowers are in bloom, and i https://t.co/xJ0QIVBXgT'"
1106390601220743170,2019-03-15 03:04:09,b'I just uploaded JRE #1265 - Andrew Schulz to #Vimeo: https://t.co/tFfueJpUNO'
1106272568057757697,2019-03-14 19:15:08,b'About to go live with the great and powerful @andrewschulz https://t.co/GqAep158RN https://t.co/DfKL8y3FvT'
1106271598057684992,2019-03-14 19:11:17,"b'The Godfather of comedy, Richard Pryor mugshot for the studio by @rossbainesart https://t.co/uOHKyNDJCD'"
1106027358690201600,2019-03-14 03:00:45,b'I had a great time talking to Timothy Denevi about all things Hunter S. Thompson today. https://t.co/aOWaNyqQZ1'
1106022087469211648,2019-03-14 02:39:49,b'San Diego! Celebrate 4/20 with @cheetosantino @tonyhinchcliffe and me! https://t.co/QaS20jAxdg https://t.co/VMbqu12ZBA'
1105988346784952321,2019-03-14 00:25:44,b'I just uploaded JRE #1264 - Timothy Denevi to #Vimeo: https://t.co/9JAXoRNufL'
1105838577005428736,2019-03-13 14:30:36,b'Good lord Joey Diaz was on FIRE last night at @thecomedystore! If youre a fan of savage comedy you owe it to yours https://t.co/UotQiCRs44'
1105742719442251776,2019-03-13 08:09:42,b'Incredible Remastered HD Footage Of The First-Ever Nuclear Bomb Test https://t.co/QNNBUecdw0 via @Digg'
1105661373349011458,2019-03-13 02:46:28,b'I just uploaded JRE #1263 - Rene DiResta to #Vimeo: https://t.co/dIbFp2j0PY'
1105657171956715526,2019-03-13 02:29:46,b'I just uploaded JRE #1262 - Pat McNamara to #Vimeo: https://t.co/okX1s9hJbV'
1105630143006019584,2019-03-13 00:42:22,b'San Diego! April 20 Im in your town with @tonyhinchcliffe and @cheetosantino! Tix at https://t.co/QaS20jAxdg https://t.co/5lL6YaHLxe'
1105584691539836929,2019-03-12 21:41:45,b'Im about to get schooled on Russian bots and troll farms with Renee DiResta https://t.co/hOVWCAOIMk https://t.co/hW7Gh8dp0k'
1105574779443167232,2019-03-12 21:02:22,b'Atlanta! Im there April 12! Tickets go on sale tomorrow at 12pm http://joerogan .com https://t.co/RQr2u31vCH'
1105546844749422592,2019-03-12 19:11:22,b'Going live with super bad ass @PatMcNamara65 https://t.co/GqAep158RN https://t.co/WZBl5QwDNF'
1105298187911380994,2019-03-12 02:43:18,b'I just uploaded JRE #1261 - Peter Hotez to #Vimeo: https://t.co/EuD68ZdSv5'
